,geometry,ev_stations_counts,ev_stations_geometries,parking_counts,restaurant_counts,library_counts,university_counts,school_counts,park_counts,cinema_counts,place_of_worship_counts,retail_counts,commercial,nodes,edges,road_density,pop_density
32,"POLYGON ((2.292900696 48.88291588888889, 2.292900696 48.87329583333333, 2.283075168 48.87329583333333, 2.283075168 48.88291588888889, 2.292900696 48.88291588888889))",4,"[[<POINT (2.285 48.877)>], [<POINT (2.284 48.874)>], [<POINT (2.292 48.882)>], [<POINT (2.293 48.877)>]]",3,98,0,0,9,6,1,4,5,0,108,186,0.016095534787123573,56.795038711385025
33,"POLYGON ((2.292900696 48.87329583333333, 2.292900696 48.86367577777778, 2.283075168 48.86367577777778, 2.283075168 48.87329583333333, 2.292900696 48.87329583333333))",4,"[[<POINT (2.292 48.872)>], [<POINT (2.287 48.87)>], [<POINT (2.293 48.868)>], [<POINT (2.29 48.872)>]]",0,72,0,0,12,0,0,3,0,2,81,144,0.022222222222222223,36.21250240806006
34,"POLYGON ((2.292900696 48.86367577777778, 2.292900696 48.85405572222222, 2.283075168 48.85405572222222, 2.283075168 48.86367577777778, 2.292900696 48.86367577777778))",0,[],1,19,1,0,3,9,1,0,4,0,104,176,0.016430171769977596,41.05529857559312
35,"POLYGON ((2.292900696 48.85405572222222, 2.292900696 48.84443566666667, 2.283075168 48.84443566666667, 2.283075168 48.85405572222222, 2.292900696 48.85405572222222))",2,"[[<POINT (2.292 48.845)>], [<POINT (2.288 48.845)>]]",8,72,1,0,13,3,0,4,8,2,93,171,0.019985974754558204,55.185986230976475
36,"POLYGON ((2.292900696 48.84443566666667, 2.292900696 48.83481561111111, 2.283075168 48.83481561111111, 2.283075168 48.84443566666667, 2.292900696 48.84443566666667))",11,"[[<POINT (2.292 48.843)>], [<POINT (2.287 48.842)>], [<POINT (2.285 48.843)>], [<POINT (2.288 48.841)>], [<POINT (2.289 48.839)>], [<POINT (2.292 48.843)>], [<POINT (2.292 48.843)>], [<POINT (2.292 48.843)>], [<POINT (2.292 48.843)>], [<POINT (2.292 48.843)>], [<POINT (2.292 48.843)>]]",1,63,0,2,18,5,0,2,3,2,81,142,0.021913580246913582,55.185986230976475
37,"POLYGON ((2.292900696 48.83481561111111, 2.292900696 48.82698632341142, 2.2922207 48.8271379, 2.2920118 48.8272254, 2.2909034 48.8276894, 2.2893877 48.8283239, 2.2854691 48.8299788, 2.2833629 48.8308617, 2.283075168 48.83096735634084, 2.283075168 48.83481561111111, 2.292900696 48.83481561111111))",0,[],2,34,1,1,1,2,0,0,3,0,46,64,0.030917874396135265,54.721519923245836
38,"POLYGON ((2.292900696 48.889615807851044, 2.292944 48.8896198, 2.2935121 48.8896858, 2.2937036 48.8897081, 2.2940331 48.889748, 2.2940396 48.8897487, 2.294239 48.8897734, 2.2942516 48.889775, 2.2943705 48.8897883, 2.295047 48.8898693, 2.29556 48.8901352, 2.2956134 48.8901629, 2.2956666 48.8901903, 2.2964597 48.8905999, 2.2973247 48.8910559, 2.2974274 48.8911092, 2.2974716 48.8911326, 2.2978671 48.8913425, 2.2980112 48.8914188, 2.2980293 48.8914282, 2.2980951 48.8914625, 2.2981869 48.8915108, 2.2982029 48.8915192, 2.2985613 48.8917077, 2.2986328 48.891742, 2.2989986 48.8919132, 2.29906 48.891942, 2.2993263 48.8920679, 2.2994757 48.8921386, 2.2996847 48.8922374, 2.2998265 48.8923037, 2.3000303 48.892399, 2.3003232476880053 48.89253594444444, 2.302726224 48.89253594444444, 2.302726224 48.88291588888889, 2.292900696 48.88291588888889, 2.292900696 48.889615807851044))",1,[[<POINT (2.297 48.885)>]],4,50,0,0,7,8,0,3,3,0,116,208,0.015592203898050975,66.97403848321119
39,"POLYGON ((2.3003232476880053 48.89253594444444, 2.3003454 48.8925463, 2.3004252 48.8925831, 2.300466 48.8926015, 2.3006258 48.8926735, 2.3015593 48.8931164, 2.302726224 48.893660126811405, 2.302726224 48.89253594444444, 2.3003232476880053 48.89253594444444))",0,[],0,0,0,0,0,0,0,0,0,0,1,0,0.0,66.97403848321119
40,"POLYGON ((2.302726224 48.88291588888889, 2.302726224 48.87329583333333, 2.292900696 48.87329583333333, 2.292900696 48.88291588888889, 2.302726224 48.88291588888889))",0,[],7,96,1,0,4,0,2,5,5,0,110,215,0.01793160967472894,52.34597574253196
41,"POLYGON ((2.302726224 48.87329583333333, 2.302726224 48.86367577777778, 2.292900696 48.86367577777778, 2.292900696 48.87329583333333, 2.302726224 48.87329583333333))",2,"[[<POINT (2.295 48.871)>], [<POINT (2.3 48.865)>]]",4,71,0,0,6,4,2,4,9,1,117,227,0.01672561155319776,28.62130928817139
42,"POLYGON ((2.302726224 48.86367577777778, 2.302726224 48.85405572222222, 2.292900696 48.85405572222222, 2.292900696 48.86367577777778, 2.302726224 48.86367577777778))",0,[],26,40,1,0,11,1,0,1,3,0,75,132,0.023783783783783784,27.747603038028238
43,"POLYGON ((2.302726224 48.85405572222222, 2.302726224 48.84443566666667, 2.292900696 48.84443566666667, 2.292900696 48.85405572222222, 2.302726224 48.85405572222222))",3,"[[<POINT (2.3 48.852)>], [<POINT (2.301 48.848)>], [<POINT (2.303 48.851)>]]",9,81,0,0,7,4,0,3,7,0,113,210,0.016592920353982302,54.55430160579127
